### Zone 'iw4x_team_iw3_spetsnaz_urban' dumped with Zonebuilder IW4x_DEV MP (Beta) build r4611-develop latest Sep 25 2024 00:02:43 win-x86
require,mp_highrise
rawfile,character/character_mp_opforce_urban_assault.gsc
rawfile,character/character_mp_opforce_urban_cqb.gsc
rawfile,character/character_mp_opforce_urban_engineer.gsc
rawfile,character/character_mp_opforce_urban_sniper.gsc
rawfile,character/character_mp_opforce_urban_support.gsc
rawfile,mptype/mptype_axis_urban_assault.gsc
rawfile,mptype/mptype_axis_urban_cqb.gsc
rawfile,mptype/mptype_axis_urban_engineer.gsc
rawfile,mptype/mptype_axis_urban_sniper.gsc
rawfile,mptype/mptype_axis_urban_support.gsc
fx,misc/ui_flagbase_black
xmodel,body_mp_opforce_assault
xmodel,body_mp_opforce_cqb
xmodel,body_mp_opforce_eningeer
xmodel,body_mp_opforce_sniper_urban
xmodel,body_mp_opforce_support
xmodel,com_plasticcase_beige_big
xmodel,head_mp_opforce_3hole_mask
xmodel,head_mp_opforce_gasmask
xmodel,head_mp_opforce_headwrap
xmodel,head_mp_opforce_justin
xmodel,head_riot_op_airborne
xmodel,mp_body_riot_op_airborne
xmodel,prop_flag_neutral
xmodel,viewhands_op_force
xmodel,viewhands_russian_airborne
xmodel,prop_flag_speznas
xmodel,prop_flag_speznas_carry
xmodel,com_plasticcase_ussr
material,faction_128_ussr
material,faction_128_ussr_fade
material,gfx_ui_quarterring.3x
material,gfx_ui_tickring.3x
material,headicon_russian
material,objpoint_flag_russian
techset,mc_l_hsm_b0c0n0s0.3x
techset,mc_l_hsm_b0c0s0.3x
techset,mc_l_hsm_flag_t0c0n0s0.3x
techset,mc_l_hsm_r0c0.3x
techset,mc_l_hsm_r0c0n0s0.3x
sound,IW3_RU_1_inform_attack_flashbang
sound,IW3_RU_1_inform_attack_grenade
sound,IW3_RU_1_inform_attack_smoke
sound,IW3_RU_1_inform_attack_stun
sound,IW3_RU_1_inform_attack_thwc4
sound,IW3_RU_1_inform_killfirm_generic
sound,IW3_RU_1_inform_killfirm_infantry
sound,IW3_RU_1_inform_plant_claymore
sound,IW3_RU_1_inform_reloading_generic
sound,IW3_RU_1_inform_suppressed_generic
sound,IW3_RU_1_order_action_suppress
sound,IW3_RU_1_reaction_casualty_generic
sound,IW3_RU_1_threat_infantry_generic
sound,IW3_RU_1mc_acheive_bomb
sound,IW3_RU_1mc_achieve_ac130
sound,IW3_RU_1mc_achieve_airstrike
sound,IW3_RU_1mc_achieve_apache
sound,IW3_RU_1mc_achieve_carepackage
sound,IW3_RU_1mc_achieve_cobra
sound,IW3_RU_1mc_achieve_emergairdrop
sound,IW3_RU_1mc_achieve_emp
sound,IW3_RU_1mc_achieve_harriers
sound,IW3_RU_1mc_achieve_heli
sound,IW3_RU_1mc_achieve_hellfire
sound,IW3_RU_1mc_achieve_hind
sound,IW3_RU_1mc_achieve_jamuav
sound,IW3_RU_1mc_achieve_littlebird
sound,IW3_RU_1mc_achieve_nuke
sound,IW3_RU_1mc_achieve_pavelow
sound,IW3_RU_1mc_achieve_predator
sound,IW3_RU_1mc_achieve_sentrygun
sound,IW3_RU_1mc_achieve_uav
sound,IW3_RU_1mc_ahead
sound,IW3_RU_1mc_airstrike
sound,IW3_RU_1mc_arena
sound,IW3_RU_1mc_armsrace
sound,IW3_RU_1mc_attack
sound,IW3_RU_1mc_bomb_defused
sound,IW3_RU_1mc_bomb_lost
sound,IW3_RU_1mc_bomb_planted
sound,IW3_RU_1mc_bomb_taken
sound,IW3_RU_1mc_boost
sound,IW3_RU_1mc_capture_a
sound,IW3_RU_1mc_capture_b
sound,IW3_RU_1mc_capture_c
sound,IW3_RU_1mc_capture_obj
sound,IW3_RU_1mc_capture_objs
sound,IW3_RU_1mc_captureflag
sound,IW3_RU_1mc_capturehold
sound,IW3_RU_1mc_capturing_a
sound,IW3_RU_1mc_capturing_b
sound,IW3_RU_1mc_capturing_c
sound,IW3_RU_1mc_challengecomplete
sound,IW3_RU_1mc_control_lost
sound,IW3_RU_1mc_control_taken
sound,IW3_RU_1mc_control_won
sound,IW3_RU_1mc_defcon
sound,IW3_RU_1mc_defcon2_1
sound,IW3_RU_1mc_defcon2_2
sound,IW3_RU_1mc_defcon2_3
sound,IW3_RU_1mc_defcon2_4
sound,IW3_RU_1mc_defcon_1
sound,IW3_RU_1mc_defcon_2
sound,IW3_RU_1mc_defcon_3
sound,IW3_RU_1mc_defcon_4
sound,IW3_RU_1mc_defcon_5
sound,IW3_RU_1mc_defend
sound,IW3_RU_1mc_defense
sound,IW3_RU_1mc_demolition
sound,IW3_RU_1mc_deploy_sentry
sound,IW3_RU_1mc_dfcn_arena
sound,IW3_RU_1mc_dfcn_armsrace
sound,IW3_RU_1mc_dfcn_captureflag
sound,IW3_RU_1mc_dfcn_demolition
sound,IW3_RU_1mc_dfcn_domination
sound,IW3_RU_1mc_dfcn_freeforall
sound,IW3_RU_1mc_dfcn_gtw
sound,IW3_RU_1mc_dfcn_headquarters
sound,IW3_RU_1mc_dfcn_oneflag
sound,IW3_RU_1mc_dfcn_sabotage
sound,IW3_RU_1mc_dfcn_searchdestroy
sound,IW3_RU_1mc_dfcn_tm_death
sound,IW3_RU_1mc_dh_arena
sound,IW3_RU_1mc_dh_armsrace
sound,IW3_RU_1mc_dh_captureflag
sound,IW3_RU_1mc_dh_demolition
sound,IW3_RU_1mc_dh_domination
sound,IW3_RU_1mc_dh_freeforall
sound,IW3_RU_1mc_dh_gtw
sound,IW3_RU_1mc_dh_headquarters
sound,IW3_RU_1mc_dh_oneflag
sound,IW3_RU_1mc_dh_sabotage
sound,IW3_RU_1mc_dh_searchdestroy
sound,IW3_RU_1mc_dh_tm_death
sound,IW3_RU_1mc_dom_enemy_lb
sound,IW3_RU_1mc_domination
sound,IW3_RU_1mc_domination_pro
sound,IW3_RU_1mc_draw
sound,IW3_RU_1mc_empd
sound,IW3_RU_1mc_encourage_lost
sound,IW3_RU_1mc_encourage_win
sound,IW3_RU_1mc_enemy_ac130
sound,IW3_RU_1mc_enemy_airdrop
sound,IW3_RU_1mc_enemy_airstrike
sound,IW3_RU_1mc_enemy_apache
sound,IW3_RU_1mc_enemy_carepackage
sound,IW3_RU_1mc_enemy_cobra
sound,IW3_RU_1mc_enemy_emergairdrop
sound,IW3_RU_1mc_enemy_emp
sound,IW3_RU_1mc_enemy_harriers
sound,IW3_RU_1mc_enemy_has_a
sound,IW3_RU_1mc_enemy_has_b
sound,IW3_RU_1mc_enemy_has_c
sound,IW3_RU_1mc_enemy_heli
sound,IW3_RU_1mc_enemy_hellfire
sound,IW3_RU_1mc_enemy_hind
sound,IW3_RU_1mc_enemy_jamuav
sound,IW3_RU_1mc_enemy_littlebird
sound,IW3_RU_1mc_enemy_pavelow
sound,IW3_RU_1mc_enemy_predator
sound,IW3_RU_1mc_enemy_sentrygun
sound,IW3_RU_1mc_enemy_take_a
sound,IW3_RU_1mc_enemy_take_b
sound,IW3_RU_1mc_enemy_take_c
sound,IW3_RU_1mc_enemy_tnuke
sound,IW3_RU_1mc_enemy_uav
sound,IW3_RU_1mc_enemyair
sound,IW3_RU_1mc_enemyflag
sound,IW3_RU_1mc_enemyflag_capt
sound,IW3_RU_1mc_enemyflag_drop
sound,IW3_RU_1mc_enemyflag_return
sound,IW3_RU_1mc_enemyflag_tobase
sound,IW3_RU_1mc_enemyheli
sound,IW3_RU_1mc_enemyuavair
sound,IW3_RU_1mc_fight_back
sound,IW3_RU_1mc_fightback
sound,IW3_RU_1mc_flag_captured
sound,IW3_RU_1mc_flag_up
sound,IW3_RU_1mc_forward
sound,IW3_RU_1mc_freeforall
sound,IW3_RU_1mc_freeforall_pro
sound,IW3_RU_1mc_friendlyair
sound,IW3_RU_1mc_friendlyheli
sound,IW3_RU_1mc_getback_ourflag
sound,IW3_RU_1mc_getflag_takedown
sound,IW3_RU_1mc_glowstick_destroyed
sound,IW3_RU_1mc_glowstick_gone
sound,IW3_RU_1mc_goodtogo
sound,IW3_RU_1mc_gridiron
sound,IW3_RU_1mc_gtw
sound,IW3_RU_1mc_halftime
sound,IW3_RU_1mc_hardcore
sound,IW3_RU_1mc_hardcore_freeforall
sound,IW3_RU_1mc_hardcore_tm_death
sound,IW3_RU_1mc_hc_arena
sound,IW3_RU_1mc_hc_armsrace
sound,IW3_RU_1mc_hc_captureflag
sound,IW3_RU_1mc_hc_demolition
sound,IW3_RU_1mc_hc_domination
sound,IW3_RU_1mc_hc_freeforall
sound,IW3_RU_1mc_hc_gtw
sound,IW3_RU_1mc_hc_headquarters
sound,IW3_RU_1mc_hc_oneflag
sound,IW3_RU_1mc_hc_sabotage
sound,IW3_RU_1mc_hc_searchdestroy
sound,IW3_RU_1mc_hc_tm_death
sound,IW3_RU_1mc_headquarters
sound,IW3_RU_1mc_headquarters_pro
sound,IW3_RU_1mc_helisupport
sound,IW3_RU_1mc_highspeed
sound,IW3_RU_1mc_holddown
sound,IW3_RU_1mc_hq_captured
sound,IW3_RU_1mc_hq_destroyed
sound,IW3_RU_1mc_hq_located
sound,IW3_RU_1mc_hq_offline
sound,IW3_RU_1mc_hq_online
sound,IW3_RU_1mc_hq_secured
sound,IW3_RU_1mc_in_control
sound,IW3_RU_1mc_keepfighting
sound,IW3_RU_1mc_killfirm
sound,IW3_RU_1mc_king
sound,IW3_RU_1mc_last_one
sound,IW3_RU_1mc_lastalive
sound,IW3_RU_1mc_lead_lost
sound,IW3_RU_1mc_lead_taken
sound,IW3_RU_1mc_losing
sound,IW3_RU_1mc_losing_a
sound,IW3_RU_1mc_losing_b
sound,IW3_RU_1mc_losing_c
sound,IW3_RU_1mc_losing_fight
sound,IW3_RU_1mc_lost_a
sound,IW3_RU_1mc_lost_b
sound,IW3_RU_1mc_lost_c
sound,IW3_RU_1mc_lostobj
sound,IW3_RU_1mc_mission_fail
sound,IW3_RU_1mc_mission_success
sound,IW3_RU_1mc_new_positions
sound,IW3_RU_1mc_obj_defend
sound,IW3_RU_1mc_obj_destroy
sound,IW3_RU_1mc_objective_comp
sound,IW3_RU_1mc_objective_lost
sound,IW3_RU_1mc_objs_defend
sound,IW3_RU_1mc_objs_destroy
sound,IW3_RU_1mc_offense
sound,IW3_RU_1mc_oldschool
sound,IW3_RU_1mc_one_enemy
sound,IW3_RU_1mc_one_flag
sound,IW3_RU_1mc_ourflag
sound,IW3_RU_1mc_ourflag_capt
sound,IW3_RU_1mc_ourflag_drop
sound,IW3_RU_1mc_ourflag_return
sound,IW3_RU_1mc_ouruavonline
sound,IW3_RU_1mc_overtime
sound,IW3_RU_1mc_positions_lock
sound,IW3_RU_1mc_promoted
sound,IW3_RU_1mc_pushforward
sound,IW3_RU_1mc_readytomove
sound,IW3_RU_1mc_regroup
sound,IW3_RU_1mc_sabotage
sound,IW3_RU_1mc_sabotage_pro
sound,IW3_RU_1mc_searchdestroy
sound,IW3_RU_1mc_searchdestroy_pro
sound,IW3_RU_1mc_secure_a
sound,IW3_RU_1mc_secure_b
sound,IW3_RU_1mc_secure_c
sound,IW3_RU_1mc_secure_crates
sound,IW3_RU_1mc_secure_supplies
sound,IW3_RU_1mc_secure_weapons
sound,IW3_RU_1mc_securedobj
sound,IW3_RU_1mc_securing_a
sound,IW3_RU_1mc_securing_b
sound,IW3_RU_1mc_securing_c
sound,IW3_RU_1mc_security_complete
sound,IW3_RU_1mc_sentry_destroyed
sound,IW3_RU_1mc_sentry_gone
sound,IW3_RU_1mc_suddendeath
sound,IW3_RU_1mc_switching
sound,IW3_RU_1mc_tactical
sound,IW3_RU_1mc_take_positions
sound,IW3_RU_1mc_takeback
sound,IW3_RU_1mc_tctl_arena
sound,IW3_RU_1mc_tctl_armsrace
sound,IW3_RU_1mc_tctl_captureflag
sound,IW3_RU_1mc_tctl_demolition
sound,IW3_RU_1mc_tctl_domination
sound,IW3_RU_1mc_tctl_freeforall
sound,IW3_RU_1mc_tctl_gtw
sound,IW3_RU_1mc_tctl_headquarters
sound,IW3_RU_1mc_tctl_oneflag
sound,IW3_RU_1mc_tctl_sabotage
sound,IW3_RU_1mc_tctl_searchdestroy
sound,IW3_RU_1mc_tctl_tm_death
sound,IW3_RU_1mc_team_hardcore
sound,IW3_RU_1mc_thirdp_arena
sound,IW3_RU_1mc_thirdp_armsrace
sound,IW3_RU_1mc_thirdp_captureflag
sound,IW3_RU_1mc_thirdp_demolition
sound,IW3_RU_1mc_thirdp_domination
sound,IW3_RU_1mc_thirdp_freeforall
sound,IW3_RU_1mc_thirdp_gtw
sound,IW3_RU_1mc_thirdp_headquarters
sound,IW3_RU_1mc_thirdp_oneflag
sound,IW3_RU_1mc_thirdp_sabotage
sound,IW3_RU_1mc_thirdp_searchdestroy
sound,IW3_RU_1mc_thirdp_tm_death
sound,IW3_RU_1mc_ti_blocked
sound,IW3_RU_1mc_ti_cancelled
sound,IW3_RU_1mc_tied
sound,IW3_RU_1mc_timesup
sound,IW3_RU_1mc_tm_death
sound,IW3_RU_1mc_tm_death_pro
sound,IW3_RU_1mc_uavrecon
sound,IW3_RU_1mc_use_ac130
sound,IW3_RU_1mc_use_airdrop
sound,IW3_RU_1mc_use_airstrike
sound,IW3_RU_1mc_use_apache
sound,IW3_RU_1mc_use_carepackage
sound,IW3_RU_1mc_use_cobra
sound,IW3_RU_1mc_use_emergairdrop
sound,IW3_RU_1mc_use_emp
sound,IW3_RU_1mc_use_harriers
sound,IW3_RU_1mc_use_heli
sound,IW3_RU_1mc_use_hellfire
sound,IW3_RU_1mc_use_hind
sound,IW3_RU_1mc_use_jamuav
sound,IW3_RU_1mc_use_littlebird
sound,IW3_RU_1mc_use_pavelow
sound,IW3_RU_1mc_use_predator
sound,IW3_RU_1mc_use_sentrygun
sound,IW3_RU_1mc_use_tnuke
sound,IW3_RU_1mc_use_uav
sound,IW3_RU_1mc_winning
sound,IW3_RU_1mc_winning_fight
sound,IW3_RU_ac130_fco_backonthose
sound,IW3_RU_ac130_fco_clearedtoengage
sound,IW3_RU_ac130_fco_directhit
sound,IW3_RU_ac130_fco_directhits
sound,IW3_RU_ac130_fco_doveonground
sound,IW3_RU_ac130_fco_downstillmoving
sound,IW3_RU_ac130_fco_getperson
sound,IW3_RU_ac130_fco_getthatguy
sound,IW3_RU_ac130_fco_gettinbackup
sound,IW3_RU_ac130_fco_gonnagethim
sound,IW3_RU_ac130_fco_goodkill
sound,IW3_RU_ac130_fco_gotarunner
sound,IW3_RU_ac130_fco_guymovin
sound,IW3_RU_ac130_fco_guyrunnin
sound,IW3_RU_ac130_fco_hotdamn
sound,IW3_RU_ac130_fco_iseepieces
sound,IW3_RU_ac130_fco_knockedwind
sound,IW3_RU_ac130_fco_lightemup
sound,IW3_RU_ac130_fco_moreenemy
sound,IW3_RU_ac130_fco_movingagain
sound,IW3_RU_ac130_fco_nailthoseguys
sound,IW3_RU_ac130_fco_nice
sound,IW3_RU_ac130_fco_okyougothim
sound,IW3_RU_ac130_fco_oopsiedaisy
sound,IW3_RU_ac130_fco_personnelthere
sound,IW3_RU_ac130_fco_rightontarget
sound,IW3_RU_ac130_fco_rightthere
sound,IW3_RU_ac130_fco_stillmoving
sound,IW3_RU_ac130_fco_takehimout
sound,IW3_RU_ac130_fco_thatsahit
sound,IW3_RU_ac130_fco_tracking
sound,IW3_RU_ac130_fco_within2feet
sound,IW3_RU_ac130_fco_yepstillmoving
sound,IW3_RU_ac130_fco_yougothim
sound,IW3_RU_ac130_fco_yougothim2
sound,IW3_RU_ac130_gnr_gunready1
sound,IW3_RU_ac130_gnr_shot1
