### Zone 'iw4x_team_iw3_usmc_desert' dumped with Zonebuilder IW4x_DEV MP (Beta) build r4611-develop latest Sep 25 2024 00:02:43 win-x86
require,mp_highrise
rawfile,character/character_mp_usmc_assault.gsc
rawfile,character/character_mp_usmc_recon.gsc
rawfile,character/character_mp_usmc_sniper.gsc
rawfile,character/character_mp_usmc_specops.gsc
rawfile,character/character_mp_usmc_support.gsc
rawfile,mptype/mptype_ally_cqb.gsc
rawfile,mptype/mptype_ally_engineer.gsc
rawfile,mptype/mptype_ally_rifleman.gsc
rawfile,mptype/mptype_ally_sniper.gsc
rawfile,mptype/mptype_ally_support.gsc
fx,ui_flagbase_black
xmodel,body_mp_usmc_assault
xmodel,body_mp_usmc_recon
xmodel,body_mp_usmc_sniper
xmodel,body_mp_usmc_specops
xmodel,body_mp_usmc_support
xmodel,com_plasticcase_beige_big
xmodel,head_mp_usmc_nomex
xmodel,head_mp_usmc_shaved_head
xmodel,head_mp_usmc_tactical_baseball_cap
xmodel,head_mp_usmc_tactical_mich
xmodel,head_mp_usmc_tactical_mich_stripes_nomex
xmodel,head_us_army_e
xmodel,mp_body_us_army_riot
xmodel,prop_flag_neutral
xmodel,viewhands_us_army
xmodel,viewmodel_base_viewhands
xmodel,prop_flag_ranger
xmodel,prop_flag_ranger_carry
xmodel,com_plasticcase_rangers
material,faction_128_usmc
material,faction_128_usmc_fade
material,gfx_missing_fx.3x
material,headicon_american
material,objpoint_flag_american
techset,mc_l_hsm_b0c0n0s0.3x
techset,mc_l_hsm_b0c0s0.3x
techset,mc_l_hsm_flag_t0c0n0s0.3x
techset,mc_l_hsm_r0c0.3x
techset,mc_l_hsm_r0c0n0s0.3x
techset,mc_l_hsm_skin_r0c0n0s0.3x
sound,IW3_US_1_inform_attack_flashbang
sound,IW3_US_1_inform_attack_grenade
sound,IW3_US_1_inform_attack_smoke
sound,IW3_US_1_inform_attack_stun
sound,IW3_US_1_inform_attack_thwc4
sound,IW3_US_1_inform_killfirm_generic
sound,IW3_US_1_inform_killfirm_infantry
sound,IW3_US_1_inform_plant_claymore
sound,IW3_US_1_inform_reloading_generic
sound,IW3_US_1_inform_suppressed_generic
sound,IW3_US_1_order_action_suppress
sound,IW3_US_1_reaction_casualty_generic
sound,IW3_US_1_threat_infantry_generic
sound,IW3_US_1mc_acheive_bomb
sound,IW3_US_1mc_achieve_ac130
sound,IW3_US_1mc_achieve_airstrike
sound,IW3_US_1mc_achieve_apache
sound,IW3_US_1mc_achieve_carepackage
sound,IW3_US_1mc_achieve_cobra
sound,IW3_US_1mc_achieve_emergairdrop
sound,IW3_US_1mc_achieve_emp
sound,IW3_US_1mc_achieve_harriers
sound,IW3_US_1mc_achieve_heli
sound,IW3_US_1mc_achieve_hellfire
sound,IW3_US_1mc_achieve_hind
sound,IW3_US_1mc_achieve_jamuav
sound,IW3_US_1mc_achieve_littlebird
sound,IW3_US_1mc_achieve_nuke
sound,IW3_US_1mc_achieve_pavelow
sound,IW3_US_1mc_achieve_predator
sound,IW3_US_1mc_achieve_sentrygun
sound,IW3_US_1mc_achieve_uav
sound,IW3_US_1mc_ahead
sound,IW3_US_1mc_airstrike
sound,IW3_US_1mc_arena
sound,IW3_US_1mc_armsrace
sound,IW3_US_1mc_attack
sound,IW3_US_1mc_bomb_defused
sound,IW3_US_1mc_bomb_lost
sound,IW3_US_1mc_bomb_planted
sound,IW3_US_1mc_bomb_taken
sound,IW3_US_1mc_boost
sound,IW3_US_1mc_capture_a
sound,IW3_US_1mc_capture_b
sound,IW3_US_1mc_capture_c
sound,IW3_US_1mc_capture_obj
sound,IW3_US_1mc_capture_objs
sound,IW3_US_1mc_captureflag
sound,IW3_US_1mc_capturehold
sound,IW3_US_1mc_capturing_a
sound,IW3_US_1mc_capturing_b
sound,IW3_US_1mc_capturing_c
sound,IW3_US_1mc_challenge_complete
sound,IW3_US_1mc_control_lost
sound,IW3_US_1mc_control_taken
sound,IW3_US_1mc_control_won
sound,IW3_US_1mc_defcon
sound,IW3_US_1mc_defcon2_1
sound,IW3_US_1mc_defcon2_2
sound,IW3_US_1mc_defcon2_3
sound,IW3_US_1mc_defcon2_4
sound,IW3_US_1mc_defcon_1
sound,IW3_US_1mc_defcon_2
sound,IW3_US_1mc_defcon_3
sound,IW3_US_1mc_defcon_4
sound,IW3_US_1mc_defcon_5
sound,IW3_US_1mc_defend
sound,IW3_US_1mc_defense
sound,IW3_US_1mc_demolition
sound,IW3_US_1mc_deploy_sentry
sound,IW3_US_1mc_dfcn_arena
sound,IW3_US_1mc_dfcn_armsrace
sound,IW3_US_1mc_dfcn_captureflag
sound,IW3_US_1mc_dfcn_demolition
sound,IW3_US_1mc_dfcn_domination
sound,IW3_US_1mc_dfcn_freeforall
sound,IW3_US_1mc_dfcn_gtw
sound,IW3_US_1mc_dfcn_headquarters
sound,IW3_US_1mc_dfcn_oneflag
sound,IW3_US_1mc_dfcn_sabotage
sound,IW3_US_1mc_dfcn_searchdestroy
sound,IW3_US_1mc_dfcn_tm_death
sound,IW3_US_1mc_dh_arena
sound,IW3_US_1mc_dh_armsrace
sound,IW3_US_1mc_dh_captureflag
sound,IW3_US_1mc_dh_demolition
sound,IW3_US_1mc_dh_domination
sound,IW3_US_1mc_dh_freeforall
sound,IW3_US_1mc_dh_gtw
sound,IW3_US_1mc_dh_headquarters
sound,IW3_US_1mc_dh_oneflag
sound,IW3_US_1mc_dh_sabotage
sound,IW3_US_1mc_dh_searchdestroy
sound,IW3_US_1mc_dh_tm_death
sound,IW3_US_1mc_dom_enemy_lb
sound,IW3_US_1mc_domination
sound,IW3_US_1mc_domination_pro
sound,IW3_US_1mc_draw
sound,IW3_US_1mc_empd
sound,IW3_US_1mc_encourage_lost
sound,IW3_US_1mc_encourage_win
sound,IW3_US_1mc_enemy_ac130
sound,IW3_US_1mc_enemy_airdrop
sound,IW3_US_1mc_enemy_airstrike
sound,IW3_US_1mc_enemy_apache
sound,IW3_US_1mc_enemy_carepackage
sound,IW3_US_1mc_enemy_cobra
sound,IW3_US_1mc_enemy_emergairdrop
sound,IW3_US_1mc_enemy_emp
sound,IW3_US_1mc_enemy_harriers
sound,IW3_US_1mc_enemy_has_a
sound,IW3_US_1mc_enemy_has_b
sound,IW3_US_1mc_enemy_has_c
sound,IW3_US_1mc_enemy_heli
sound,IW3_US_1mc_enemy_hellfire
sound,IW3_US_1mc_enemy_hind
sound,IW3_US_1mc_enemy_jamuav
sound,IW3_US_1mc_enemy_littlebird
sound,IW3_US_1mc_enemy_pavelow
sound,IW3_US_1mc_enemy_predator
sound,IW3_US_1mc_enemy_sentrygun
sound,IW3_US_1mc_enemy_take_a
sound,IW3_US_1mc_enemy_take_b
sound,IW3_US_1mc_enemy_take_c
sound,IW3_US_1mc_enemy_tnuke
sound,IW3_US_1mc_enemy_uav
sound,IW3_US_1mc_enemyair
sound,IW3_US_1mc_enemyflag
sound,IW3_US_1mc_enemyflag_capt
sound,IW3_US_1mc_enemyflag_drop
sound,IW3_US_1mc_enemyflag_return
sound,IW3_US_1mc_enemyflag_tobase
sound,IW3_US_1mc_enemyheli
sound,IW3_US_1mc_enemyuavair
sound,IW3_US_1mc_fight_back
sound,IW3_US_1mc_fightback
sound,IW3_US_1mc_flag_captured
sound,IW3_US_1mc_flag_up
sound,IW3_US_1mc_forward
sound,IW3_US_1mc_freeforall
sound,IW3_US_1mc_freeforall_pro
sound,IW3_US_1mc_friendlyair
sound,IW3_US_1mc_friendlyheli
sound,IW3_US_1mc_getback_ourflag
sound,IW3_US_1mc_getflag_takedown
sound,IW3_US_1mc_glowstick_destroyed
sound,IW3_US_1mc_glowstick_gone
sound,IW3_US_1mc_goodtogo
sound,IW3_US_1mc_gridiron
sound,IW3_US_1mc_gtw
sound,IW3_US_1mc_halftime
sound,IW3_US_1mc_hardcore
sound,IW3_US_1mc_hardcore_freeforall
sound,IW3_US_1mc_hardcore_tm_death
sound,IW3_US_1mc_hc_arena
sound,IW3_US_1mc_hc_armsrace
sound,IW3_US_1mc_hc_captureflag
sound,IW3_US_1mc_hc_demolition
sound,IW3_US_1mc_hc_domination
sound,IW3_US_1mc_hc_freeforall
sound,IW3_US_1mc_hc_gtw
sound,IW3_US_1mc_hc_headquarters
sound,IW3_US_1mc_hc_oneflag
sound,IW3_US_1mc_hc_sabotage
sound,IW3_US_1mc_hc_searchdestroy
sound,IW3_US_1mc_hc_tm_death
sound,IW3_US_1mc_headquarters
